mileage,Age,stroke_values,Light Type,price
53332,40,2 stroke,Single Light,260000
24000,37,2 stroke,Single Light,185000
288000,36,2 stroke,Single Light,380000
88000,35,2 stroke,Single Light,300000
68000,35,2 stroke,Single Light,290000
123450,35,2 stroke,Single Light,325000
30000,34,2 stroke,Single Light,295000
30000,34,2 stroke,Single Light,270000
321582,34,2 stroke,Single Light,198000
200000,34,2 stroke,Single Light,210000
44431,34,2 stroke,Single Light,350000
44313,34,2 stroke,Single Light,295000
100000,34,2 stroke,Single Light,245000
51223,34,2 stroke,Single Light,270000
40000,33,2 stroke,Single Light,280000
100000,33,2 stroke,Single Light,270000
50400,33,2 stroke,Single Light,300000
100000,33,2 stroke,Single Light,278000
60000,33,2 stroke,Single Light,288000
48000,33,2 stroke,Single Light,280000
25000,33,2 stroke,Single Light,235000
44321,33,2 stroke,Single Light,255000
63353,33,2 stroke,Single Light,280000
89730,33,2 stroke,Single Light,320000
100000,33,2 stroke,Single Light,295000
89000,33,2 stroke,Single Light,265000
100000,32,2 stroke,Single Light,360000
53000,32,2 stroke,Single Light,520000
75000,32,2 stroke,Single Light,240000
73600,32,2 stroke,Single Light,475000
78000,32,2 stroke,Single Light,265000
63000,32,2 stroke,Single Light,277000
45661,32,2 stroke,Single Light,265000
15300,31,2 stroke,Single Light,250000
250000,31,2 stroke,Single Light,300000
154800,31,2 stroke,Single Light,298888
34535,31,2 stroke,Single Light,225000
90000,31,2 stroke,Single Light,370000
24313,31,2 stroke,Single Light,278000
120000,31,2 stroke,Single Light,345000
145235,31,2 stroke,Single Light,395000
20000,31,2 stroke,Single Light,360000
20000,31,2 stroke,Single Light,370000
43576,31,2 stroke,Single Light,310000
6541,31,2 stroke,Single Light,260000
120000,31,2 stroke,Single Light,350000
47388,31,2 stroke,Single Light,350000
26000,31,2 stroke,Single Light,335000
96530,30,2 stroke,Single Light,220000
98000,30,2 stroke,Single Light,320000
32154,30,2 stroke,Single Light,210000
58000,30,2 stroke,Single Light,250000
32113,30,2 stroke,Single Light,295000
42743,30,2 stroke,Single Light,185000
89000,30,2 stroke,Single Light,270000
75000,30,2 stroke,Single Light,220000
50000,29,2 stroke,Single Light,375000
55555,29,2 stroke,Single Light,365000
125000,29,2 stroke,Single Light,315000
50000,29,2 stroke,Single Light,320000
60000,29,2 stroke,Single Light,345000
80000,29,2 stroke,Single Light,290000
163500,29,2 stroke,Single Light,430000
68000,29,2 stroke,Single Light,420000
32134,29,2 stroke,Single Light,228000
200000,29,2 stroke,Single Light,260000
70000,29,2 stroke,Single Light,245000
30000,29,2 stroke,Single Light,300000
20000,29,2 stroke,Single Light,230000
85000,29,2 stroke,Single Light,250000
95623,29,2 stroke,Single Light,375000
200000,29,2 stroke,Single Light,415000
135300,29,2 stroke,Single Light,270000
145122,29,2 stroke,Single Light,165000
98965,29,2 stroke,Single Light,220000
153353,29,2 stroke,Single Light,390000
81000,29,2 stroke,Single Light,335000
78000,29,2 stroke,Single Light,190000
65000,29,2 stroke,Single Light,380000
32154,29,2 stroke,Single Light,315000
140000,29,2 stroke,Single Light,285000
150000,29,2 stroke,Single Light,360000
90000,28,2 stroke,Single Light,300000
85258,28,2 stroke,Single Light,245000
36580,28,2 stroke,Single Light,310000
97538,28,2 stroke,Single Light,335000
62415,28,2 stroke,Single Light,300000
65412,28,2 stroke,Single Light,230000
12345,28,2 stroke,Single Light,215000
53342,28,2 stroke,Single Light,280000
127000,28,2 stroke,Single Light,400000
50000,28,2 stroke,Single Light,295000
75000,28,2 stroke,Single Light,305000
88912,28,2 stroke,Single Light,320000
52342,28,2 stroke,Single Light,265000
100000,28,2 stroke,Single Light,268000
100000,28,2 stroke,Single Light,298000
100000,28,2 stroke,Single Light,280000
70000,28,2 stroke,Single Light,310000
20000,28,2 stroke,Single Light,340000
15000,28,2 stroke,Single Light,310000
85371,28,2 stroke,Single Light,335000
45000,28,2 stroke,Single Light,260000
50000,28,2 stroke,Single Light,208000
65000,28,2 stroke,Single Light,310000
99000,28,2 stroke,Single Light,328000
